Video File,Transcription
tt0021814.mp4," The Count is always very attentive to his guests. Girls of her age have a tendency to be a bit too forward. Here's mine! What is this? It's an insect bite. You do not know what he is capable of! He is evil! Do you hear any than hell sing, evil? In the name of God, go back! Ah!"
tt0026129.mp4," I've got an assignment for you. Juarez, Mexico. Over the last few years, 375 Mexican women have been raped and murdered. No one has yet to be charged. An additional 700 Mexican women are still missing. No one knows who. No one knows why. You want to find out? I'm Lauren Adrienne from the Chicago Sentinel. A woman reporter? This girl was attacked, strangled, buried and left for dead. She crawled out of her own grave. Does anyone else know about this? No, I'm sitting on an exclusive. Shoot her. You have to identify them. She wants to find the guys who did this. And I'm going to help her. Be careful, you're not a cop. Your story about these women is just not worth it. They're just Mexican women so they're not worth it. This is now a matter of corporate responsibility. What? Since when did you start putting corporate responsibility above the truth? Are you going to fight for me? He's a murderer. He's been protected by the authorities here. There are two sets of laws in any country, okay? The laws for people with money and influence and the laws for everybody else. God say you gotta let this thing go. I can't let it go. This story could save her life. They will kill you. Get out of here! I will find this man. The screams of the women of wars are silent. Because no one will listen."
tt0029546.mp4," For longer than he can remember, John Clark has led a dull existence. The mind-numbing commute. The family he never sees. Dad, we're late tonight? Looks that way. But one night, he looks up. And his whole life changes. Have you ever danced before? No. But I'm a fast learner. Excuse me, when we go, I'm sorry, when we go forward. Now, he's entering a world he never imagined. A place filled with grand passions. You have to hold her like you're gonna have your way with her right here on the dance floor. You all right? Yeah, I'm good. Bitter rivalries. Great friends. Shall we dance, Mr. Clark? And strange couples. The judges are looking at your hips, not your hair, so lose it! From the company that brought you Chicago. You could have told me about it. I was ashamed. Of dancing? Richard Gere. Jennifer Lopez. Susan Sarandon. Stanley Tucci. And a story about the dreams we follow. What made you want to dance? Made me happy. And the lives we change along the way. Beverly, dance with me. I don't know how. You've been dancing with me for 19 years. Shall we dance?"
tt0031507.mp4," His children didn't know how their father made his living, or why they so often moved. They didn't even know their father's name. He regretted neither his robberies, nor the 17 murders that he laid claim to. And on September 5th, 1881, Jesse James was 34 years old. I can't believe I'm sitting with none other than Jesse James. Man, he's the night I stayed up. My eyes open, my mouth open, just reading about your escapades. They're all lies, you know. It is interesting the many ways you and I overlap. You're the youngest of three James boys, and I'm the youngest of five Ford boys. You have blue eyes, I have blue eyes. You're five feet eight inches tall, I'm five feet eight inches tall. I honestly believe I'm destined for great things, Mr. James. You're giving me signs that make me wonder. Maybe your mind's been changed about me. Can't figure it out. You want to be like me, or you want to be me? You think it's all made up, don't you? You think it's all yarns and newspaper stories. He's just a human being. Look at my red hands and my mean face. I wonder about that man that's gone so wrong. I've been a nobody all my life. I know I won't get with this one opportunity, and you can bet your life I'm not gonna spoil. It seems to me if you have something to confess, you spit it out now. You"
tt0040662.mp4," Please, sir. I want some more. What? Oliver Twist has asked for more. For more? That boy will be hacked. You know you've got no father or mother and that you were brought up by the parish? Yes, sir. You have come here to be educated and to be taught a useful trade. Take down the shutters! Clear the office. See your prayers. Yes. Let the boy alone. Let him alone? Why, everybody's let him alone. His mother, father and all his relations just let him alone. So we need someone who don't. My name is Jack Dawkins, better known as the Artful Dodger. Oliver Twist. Why are you known as the Artful Dodger? That's why. Oliver Twist! I hope I have the honour of a more intimate acquaintance. Come on, Oliver, join us. Put yourself under Fagin and you'll be able to retire and do the Gentile. I'm a doctor. Help me! Oh, my God! Thank you, Sir, for your kindness. I'm always remembering."
tt0042767.mp4," Vincenzo. Mama. Vincenzo. Oh, mama. Former gangster Vincent Vinnie Antonelli I'm a new man. is being placed under federal protection. He's not the old me. hidden in suburbia. This is the new me. assigned his own personal FBI agent. This is a real nice house. It's one of the nicest we've ever moved anyone like you into. Hey, Linda, what do you think? I always promised you a nice house somewhere in America. Let's not get carried away, okay, Vinnie? It's gonna be a lot easier if you two start calling each other Terry and Todd. It's a nice house, Terry, okay? No, you're Terry and he's Todd. Man will for will call. Thanks for everything. I really appreciate it. And even is nice. This is my job. I get paid. You don't tip FBI, man. Sure you do. I'll lead you to mine. Please, have one. The man is a government asset. He has to testify at two major mob trials in New York in the immediate future. Being in the witness protection program may save Vinnie's life. Hey, I just want you to keep your nose clean. Capice? You trying to say capiche? Yeah. Well, don't do it because it hurts my ears when you do it. But who's going to save the suburbs from Vinnie? You know, it's dangerous for you to be here in the frozen food section. Why is that? Because you could melt all this stuff. The comedy that asks the question, can an urban boy find suburban food? Would you like to try a vanilla brand oat crunching? What do you think? Steve Martin, Rick Moranis. Have a nice day. Off yours."
tt0042788.mp4," That's all I ever do is take the money and run, take the money and run. That's all I ever do. So why? Why should I? Why should I settle for that? I'm not like that. No, no. Just for the record though, I wanna ask you something. How much were you gonna pay me? In a world of fast operators. Harry Fabian, attorney of law. Everybody, this is Harry Fabian. Harry, Harry, Harry Fabian is one of a kind. Tomorrow you're gonna see this doctor, he's the best. This guy can do like open heart surgery with mittens on. What a shyster. Shyster? Harry Fabian, defender of worms. He talks the talk. No can do, no can do. What's no can do? What's that, a Chinese appetizer? He walks the walk. My place. And he dreams big dreams. 22, maybe 25 grand, all poor like to bring back the good old days. Local talent, local arena, bingo banger, what's the rage? Hello 1938, little cat, sound like wildfire. You really gonna go through with this? You got rocks in your head. Which do you want, Harry? 9,000 on seven five, two for 700. I can give you the money back 24 hours from now. You really thought I was gonna loan you 12,000 bucks? Well you're gonna get 25,000. What's that? This is money. This is for you. Me? Yeah. Why on earth would anyone who knows me willingly take me out of the apartment? I mean, come on. This is it, right? I don't know. This is it, man. Oh yes, I'm the great pretender. Helen St. Fabian. Where do you think you got the money? From the money store? What do you mean you're leaving me? You go to hell. You leave filled, you leave town. I will have you killed, Harry. You don't even trust you. You let everybody walk alone? Who walked alone? Who? Everybody, everybody. You want to kill me? I don't give a damn. I don't give a damn. Where am I? I'll bring you home, baby."
tt0042994.mp4, I Think that mania deciding in here you go out of your mind? Ah! Killl her! Kill her! Ahhh! So what are we gonna do now you've got to find the key?
tt0046238.mp4," I know I haven't driven you before. I never forget a face. Who recommended me, Miss Eastern? Lewis McBride? Lou? Is he in town? Yeah. He's in Penang. He was arrested on drug charges. Is he still there? For eight more days. So you're telling me, he'll be eight days from right now. Lewis McBride is going to hang. The day you and Tony left, a man came looking for a bike you all had rented. Only they didn't find a bike. They found hashish in the trash. Why the hell we buy so much hash anyway? In order for Lewis not to be considered a dealer, you and Tony both have to go back to Penang and accept your share of the responsibility. Tony's only going to go back if you also go back. I need a little time. Time is one thing we don't have. I'm MJ Major, reporter for the New York Examiner. An American journalist tries to criticize Malaysian justice. I wouldn't go back for any price at all. I will feel guilty. I really do, just for asking you. Articles, photographs, petitions, every single one of death warrant. You guys are my last chance. If you're talking about something that happened two years and 10,000 miles ago. I found this story. I'm going to print it. Your story could cost Lewis his life. What do you want? This girl will do anything to get you to do what she needs you to. It isn't in me. Lewis would have come back for either of us and you damn well know it. Today is almost over in Penang. It's already tomorrow. They wait him today for the trap doors of the gallows. Lewis, you are not alone right now. My faith in humanity is half restored. I'm right here, man. Lewis McBride, advice for the people of the world. What did he say? What did he say? What did he say? I'm dead. I'm here. Now leave Penang until you leave with me."
tt0054279.mp4," Hi. Hey. I was just wondering, I'm... Are you okay? What's wrong? Roger! The one thing Roger never learned I can't afford another ticket. It's in the system. was how to be a man. I want a date. I want a bass. Come in. Here, let me pay for your ticket, okay? What does she got? But this far... I know this guy. He runs this class. It was made for guys like... You. When entering this building, you will talk to no one. There is a teacher... How many of you retards own a self-help book? ...who helps the passive. That's your first problem. You can't help yourself because your self sucks. Get aggressive. It is time to kill or be killed. It says here to maintain a minimum distance of 100 feet. Ow! My God! Ow! Ow! Ow! She already shot me! Come on, come on! Why did you sign up for this class? Amanda. I really like your hair. It's long ass. Okay, let's review. Never compliment a girl. Who's next? Be dangerous. It's cool. You know what they say? That when you boil lobsters, you can actually hear them scream. Go north, young man. Now, you did well today. You did well. You did well. You did well. You did well. You did well. You did well. You did well. You did well. You did well. You did well. You did well. You did well today. Maybe one day I'll teach the class. Look, man, Dr. P is extremely competitive. The master who taught him everything has just become... Game on, Roger. ...his toughest competition. Roger, help me. Is this your dad? What? No. What's your ass, Roger? I'm nervous. Roger! Hey, hey, hey, you guys! From the director of Old School, Billy Bob Thornton. You don't want me to take the gloves off, Roger. John Heater. I'm everywhere. I'm everywhere. I'm everywhere. I'm everywhere. I'm everywhere. I'm everywhere. I'm everywhere. I'm everywhere. I'm everywhere now. I'm like the wind. With Ben Stiller. Why has everybody got to be so freaking stupid these days? What's going on? We know you broke in. Look at this. I would never do this. I know these guys. They're not cops. All right, buddy. Come on. Textbook paranoid behavior, I've seen it a million times. Check it out. School for scoundrels. School for scoundrels."
